ds,y
2017/9/20,82.199997
2017/9/21,82.699997
2017/9/22,81.599998
2017/9/25,80.949997
2017/9/26,80.300003
2017/9/27,80.699997
2017/9/28,80.400002
2017/9/29,80.650002
2017/10/2,81.5
2017/10/3,81.5
2017/10/5,81.849998
2017/10/6,82.099998
2017/10/11,83.400002
2017/10/12,84.199997
2017/10/13,84.050003
2017/10/16,84.5
2017/10/17,84.300003
2017/10/18,84.599998
2017/10/19,84.900002
2017/10/20,84.550003
2017/10/23,84.5
2017/10/24,84.400002
2017/10/25,84.349998
2017/10/26,84.25
2017/10/27,84.300003
2017/10/30,84.949997
2017/10/31,85.199997
2017/11/1,85.099998
2017/11/2,84.800003
2017/11/3,84.699997
2017/11/6,84.849998
2017/11/7,85.300003
2017/11/8,84.949997
2017/11/9,84.400002
2017/11/10,84.550003
2017/11/13,84.300003
2017/11/14,84.150002
2017/11/15,83.300003
2017/11/16,83.599998
2017/11/17,84.349998
2017/11/20,84
2017/11/21,84.75
2017/11/22,85.150002
2017/11/23,85.199997
2017/11/24,85.150002
2017/11/27,84.150002
2017/11/28,83.599998
2017/11/29,83.699997
2017/11/30,82.25
2017/12/1,82.599998
2017/12/4,82.900002
2017/12/5,82.25
2017/12/6,80.849998
2017/12/7,80.900002
2017/12/8,80.900002
2017/12/11,81.5
2017/12/12,80.949997
2017/12/13,81
2017/12/14,81.75
2017/12/15,81.099998
2017/12/18,81.199997
2017/12/19,80.800003
2017/12/20,81.050003
2017/12/21,81
2017/12/22,81.300003
2017/12/25,81.449997
2017/12/26,80.650002
2017/12/27,80.900002
2017/12/28,81.699997
2017/12/29,82.150002
2018/1/2,82.599998
2018/1/3,83.349998
2018/1/4,83.5
2018/1/5,83.75
2018/1/8,84.099998
2018/1/9,84.150002
2018/1/10,83.75
2018/1/11,83.400002
2018/1/12,84.099998
2018/1/15,84.650002
2018/1/16,85
2018/1/17,85.150002
2018/1/18,86.300003
2018/1/19,87.150002
2018/1/22,87.949997
2018/1/23,88.300003
2018/1/24,87.199997
2018/1/25,87.449997
2018/1/26,87.5
2018/1/29,85.550003
2018/1/30,84.550003
2018/1/31,84.650002
2018/2/1,85.25
2018/2/2,84.900002
2018/2/5,83.599998
2018/2/6,79.650002
2018/2/7,80.650002
2018/2/8,80.599998
2018/2/9,79.050003
2018/2/12,79.699997
2018/2/21,81.5
2018/2/22,81
2018/2/23,82
2018/2/26,82.400002
2018/2/27,82.349998
2018/3/1,81.75
2018/3/2,81.150002
2018/3/5,80.75
2018/3/6,82.150002
2018/3/7,81.800003
2018/3/8,82.75
2018/3/9,82.849998
2018/3/12,84.150002
2018/3/13,84.949997
2018/3/14,84.300003
2018/3/15,84.25
2018/3/16,83.900002
2018/3/19,83.849998
2018/3/20,83.800003
2018/3/21,83.849998
2018/3/22,83.550003
2018/3/23,82.099998
2018/3/26,82.199997
2018/3/27,83.400002
2018/3/28,82.25
2018/3/29,82.099998
2018/3/30,82.849998
2018/4/2,82.25
2018/4/3,81.5
2018/4/9,82.199997
2018/4/10,82.5
2018/4/11,82.849998
2018/4/12,82.5
2018/4/13,82.5
2018/4/16,82.300003
2018/4/17,81.400002
2018/4/18,81.599998
2018/4/19,82.650002
2018/4/20,80.75
2018/4/23,79.949997
2018/4/24,79.550003
2018/4/25,79.300003
2018/4/26,79.050003
2018/4/27,79.199997
2018/4/30,80
2018/5/2,79.400002
2018/5/3,78.550003
2018/5/4,78.949997
2018/5/7,79.5
2018/5/8,80
2018/5/9,80.449997
2018/5/10,80.650002
2018/5/11,81.599998
2018/5/14,82.5
2018/5/15,81.650002
2018/5/16,81.75
2018/5/17,81.199997
2018/5/18,80.949997
2018/5/21,82.050003
2018/5/22,81.75
2018/5/23,81.349998
2018/5/24,81.550003
2018/5/25,81.849998
2018/5/28,82.199997
2018/5/29,81.849998
2018/5/30,80.400002
2018/5/31,80.75
2018/6/1,81.349998
2018/6/4,82.599998
2018/6/5,82.5
2018/6/6,83.300003
2018/6/7,83.449997
2018/6/8,82.550003
2018/6/11,82.650002
2018/6/12,82.5
2018/6/13,83
2018/6/14,81.75
2018/6/15,81.949997
2018/6/19,80.599998
2018/6/20,81.5
2018/6/21,81.25
2018/6/22,81.150002
2018/6/25,80.900002
2018/6/26,80.699997
2018/6/27,80.400002
2018/6/28,80.050003
2018/6/29,81.449997
2018/7/2,81.050003
2018/7/3,81.150002
2018/7/4,81.400002
2018/7/5,80.75
2018/7/6,80.949997
2018/7/9,82.25
2018/7/10,82.449997
2018/7/11,81.699997
2018/7/12,82.650002
2018/7/13,83.349998
2018/7/16,83
2018/7/17,82.550003
2018/7/18,83.050003
2018/7/19,83.300003
2018/7/20,84.650002
2018/7/23,84.550003
